财报日期,实际交易日,财报前收盘价,财报日收盘价,财报日涨跌幅(%),第1日后涨跌幅(%),第1日后收盘价,第2日后涨跌幅(%),第3日后涨跌幅(%),第4日后涨跌幅(%),第5日后涨跌幅(%),期间最高价,期间最低价,最大涨幅(%),最大跌幅(%)
2025-11-05,2025-11-06,617.05,621.36,0.7,0.47,619.93,5.55,-3.59,-5.22,-9.87,675.0,542.48,9.39,-12.08
2025-08-06,2025-08-07,390.57,437.34,11.97,16.75,455.98,19.21,19.57,14.29,10.95,473.7,385.1,21.28,-1.4
2025-05-07,2025-05-08,303.46,339.51,11.88,8.26,328.54,14.64,21.96,24.08,20.81,380.7,328.52,25.45,8.26
2025-02-12,2025-02-13,380.32,471.67,24.02,34.13,510.13,30.42,29.94,18.32,9.2,525.15,412.18,38.08,8.38
2024-11-06,2024-11-07,168.55,246.53,46.27,72.06,290.01,69.94,71.48,68.47,68.79,302.55,228.1,79.5,35.33
2024-08-07,2024-08-08,67.19,76.73,14.2,15.17,77.38,11.27,18.75,25.97,27.37,86.94,66.16,29.39,-1.53
2024-05-08,2024-05-09,74.0,84.69,14.45,16.8,86.43,16.72,12.76,13.59,12.47,88.5,80.01,19.59,8.12
2024-02-14,2024-02-15,46.87,58.5,24.81,27.74,59.87,22.32,18.24,23.32,22.45,60.65,52.75,29.4,12.55
2023-11-08,2023-11-09,40.12,39.68,-1.1,9.15,43.79,3.22,6.68,0.82,-2.97,45.1,37.14,12.43,-7.43
2023-08-09,2023-08-10,29.41,37.2,26.49,32.23,38.89,35.16,34.75,32.78,28.6,40.04,33.17,36.14,12.78
2023-05-10,2023-05-11,17.81,22.0,23.53,20.77,21.51,27.06,28.47,36.89,40.82,25.2,20.9,41.51,17.35
